0,yellow,#e4db04,228,219,4
1,blue,#6cd2e3,108,210,227
2,green,#8ddf25,144,223,37
3,white,#d2cfca,210,207,255
4,orange,#fc8f43,252,143,67
5,red,#fe6575,254,101,117
